,Gene,log2FoldChange,pvalue,padj
6764,LOC100132247,-0.2125,0.5461,0.9994
6765,HS3ST2,-0.4807,0.2113,0.9994
6766,USP31,-0.04083,0.6986,0.9994
6767,SCNN1G,0.2942,0.4286,0.9994
6768,SCNN1B,-0.04115,0.9139,0.9994
6769,GGA2,-0.2253,0.3443,0.9994
6770,EARS2,-0.09813,0.3801,0.9994
6771,UBFD1,-0.07295,0.5884,0.9994
6772,NDUFAB1,0.05887,0.7587,0.9994
6773,PALB2,0.1905,0.4356,0.9994
6774,DCTN5,0.1728,0.1574,0.9994
6775,ERN2,0.1659,0.6644,0.9994
6776,PRKCB,0.4029,0.2606,0.9994
6777,CACNG3,0.2197,0.548,0.9994
6778,RBBP6,0.03085,0.8592,0.9994
6779,TNRC6A,-0.06658,0.7599,0.9994
6780,SLC5A11,-0.3943,0.3093,0.9994
6781,LOC554206,0.186,0.4405,0.9994
6782,LCMT1,-0.03936,0.8729,0.9994
6783,LOC100506655,-0.08932,0.8012,0.9994
6784,AQP8,-0.01057,0.9774,0.9994
6785,HS3ST4,-0.18,0.6463,0.9994
6786,C16orf82,0.2316,0.5548,0.9994
6787,JMJD5,0.06232,0.8533,0.9994
6788,NSMCE1,0.2171,0.4778,0.9994
6789,IL4R,-0.3653,0.3502,0.9994
6790,LOC283888,0.3056,0.4191,0.9994
6791,GTF3C1,0.02646,0.853,0.9994
6792,KIAA0556,0.09132,0.7034,0.9994
6793,GSG1L,0.2056,0.5975,0.9994
6794,XPO6,0.07891,0.55,0.9994
6795,SBK1,0.2942,0.2962,0.9994
6796,CLN3,-0.0299,0.9159,0.9994
6797,APOBR,0.09153,0.8154,0.9994
6798,CCDC101,-0.1566,0.5078,0.9994
6799,SH2B1,-0.008578,0.9724,0.9994
6800,ATP2A1,-0.09768,0.7713,0.9994
6801,LOC100289092,-0.1644,0.6173,0.9994
6802,RABEP2,-0.1856,0.296,0.9994
6803,NFATC2IP,0.0594,0.7355,0.9994
6804,MIR4517,-0.3808,0.3198,0.9994
6805,SPNS1,-0.07852,0.6376,0.9994
6806,LAT,-0.168,0.6455,0.9994
6807,LOC440354,-0.357,0.3494,0.9994
6808,SLC7A5P1,-0.6159,0.107,0.9994
6809,SPN,0.1272,0.7188,0.9994
6810,KIF22,-0.3448,0.1978,0.9994
6811,MAZ,-0.04217,0.8807,0.9994
6812,C16orf53,-0.1403,0.6505,0.9994
6813,MVP,-0.1527,0.6885,0.9994
6814,LOC440356,-0.02525,0.947,0.9994
6815,SEZ6L2,0.2359,0.4603,0.9994
6816,ASPHD1,0.2074,0.5689,0.9994
6817,KCTD13,0.2256,0.4526,0.9994
6818,TMEM219,-0.1165,0.4892,0.9994
6819,TAOK2,0.1458,0.3269,0.9994
6820,INO80E,-0.01524,0.9322,0.9994
6821,DOC2A,0.04992,0.8624,0.9994
6822,FAM57B,0.02979,0.9362,0.9994
6823,ALDOA,-0.04856,0.8565,0.9994
6824,PPP4C,0.02768,0.8994,0.9994
6825,TBX6,0.2277,0.5016,0.9994
6826,MAPK3,-0.06204,0.7157,0.9994
6827,LOC595101,-0.5141,0.1756,0.9994
6828,CD2BP2,0.07437,0.6755,0.9994
6829,TBC1D10B,0.1473,0.2712,0.9994
6830,SEPT1,-0.1606,0.5868,0.9994
6831,ZNF48,0.2528,0.3067,0.9994
6832,ZNF771,-0.1065,0.6689,0.9994
6833,DCTPP1,-0.04575,0.8061,0.9994
6834,SEPHS2,0.2436,0.3079,0.9994
6835,ITGAL,-0.3695,0.3462,0.9994
6836,ZNF768,0.1094,0.4969,0.9994
6837,ZNF747,0.04396,0.9038,0.9994
6838,ZNF688,0.2338,0.4243,0.9994
6839,ZNF785,0.2461,0.4288,0.9994
6840,PRR14,0.02486,0.8966,0.9994
6841,FBRS,-0.06913,0.7557,0.9994
6842,SRCAP,0.1422,0.2776,0.9994
6843,PHKG2,0.01036,0.9537,0.9994
6844,C16orf93,0.1512,0.6676,0.9994
6845,RNF40,0.1692,0.162,0.9994
6846,ZNF629,0.2289,0.2712,0.9994
6847,MIR4519,-0.08433,0.8296,0.9994
6848,BCL7C,-0.2,0.4183,0.9994
6849,CTF1,-0.4396,0.126,0.9994
6850,FBXL19-AS1,-0.1907,0.4922,0.9994
6851,FBXL19,0.2759,0.2903,0.9994
6852,ORAI3,-0.2488,0.366,0.9994
6853,SETD1A,-0.0829,0.5549,0.9994
6854,HSD3B7,-0.02645,0.9334,0.9994
6855,STX1B,0.3268,0.1779,0.9994
6856,STX4,0.04628,0.7771,0.9994
6857,ZNF646,0.2053,0.1426,0.9994
6858,PRSS53,-0.0387,0.9025,0.9994
6859,VKORC1,-0.1109,0.6518,0.9994
6860,BCKDK,-0.2037,0.5394,0.9994
6861,PRSS8,-0.1432,0.7071,0.9994
6862,PRSS36,-0.0684,0.853,0.9994
6863,PYCARD,-0.5183,0.1792,0.9994
6864,TRIM72,0.007034,0.9857,0.9994
6865,PYDC1,0.06704,0.8634,0.9994
6866,ZNF843,-0.05763,0.8226,0.9994
6867,ARMC5,0.1647,0.3348,0.9994
6868,SLC5A2,0.1053,0.773,0.9994
6869,C16orf58,0.008471,0.9618,0.9994
6870,KIAA0664L3,-0.007356,0.979,0.9994
6871,ZNF720,-0.1509,0.2488,0.9994
6872,ZNF267,0.07603,0.6832,0.9994
6873,LINC00273,-0.2929,0.455,0.9994
6874,UBE2MP1,0.1582,0.3493,0.9994
6875,VPS35,0.06134,0.7702,0.9994
6876,ORC6,-0.1089,0.6342,0.9994
6877,C16orf87,-0.05029,0.8193,0.9994
6878,GPT2,-0.03749,0.8488,0.9994
6879,DNAJA2,-0.04471,0.8474,0.9994
6880,NETO2,0.2135,0.1841,0.9994
6881,ITFG1,0.07769,0.6392,0.9994
6882,PHKB,-0.003731,0.9875,0.9994
6883,ABCC11,0.1707,0.6451,0.9994
6884,LONP2,-0.1066,0.3284,0.9994
6885,LOC100507577,0.04224,0.8533,0.9994
6886,SIAH1,0.0597,0.7893,0.9994
6887,ZNF423,-0.06465,0.7615,0.9994
6888,CNEP1R1,-0.0886,0.623,0.9994
6889,HEATR3,0.1074,0.7308,0.9994
6890,ADCY7,0.09973,0.7127,0.9994
6891,BRD7,0.02555,0.895,0.9994
6892,NKD1,-0.4023,0.2478,0.9994
6893,SNX20,-0.1598,0.6795,0.9994
6894,NOD2,-0.02829,0.9425,0.9994
6895,SALL1,0.09563,0.7787,0.9994
6896,TOX3,0.2869,0.2206,0.9994
6897,CHD9,0.04633,0.795,0.9994
6898,RBL2,-0.01185,0.9406,0.9994
6899,AKTIP,0.1641,0.3684,0.9994
6900,RPGRIP1L,0.1119,0.6827,0.9994
6901,FTO,0.03656,0.8751,0.9994
6902,IRX3,-0.6062,0.1182,0.9994
6903,IRX6,0.1313,0.7378,0.9994
6904,CES1,-0.4405,0.2002,0.9994
6905,LOC283856,0.4172,0.2166,0.9994
6906,GNAO1,0.3556,0.3062,0.9994
6907,DKFZP434H168,0.2636,0.4985,0.9994
6908,AMFR,0.1056,0.4755,0.9994
6909,NUDT21,0.06694,0.7647,0.9994
6910,OGFOD1,0.1037,0.422,0.9994
6911,BBS2,0.1057,0.5559,0.9994
6912,MT3,0.514,0.1724,0.9994
6913,MT2A,-0.3622,0.2995,0.9994
6914,MT1E,-0.5591,0.1468,0.9994
6915,MT1X,-0.348,0.3692,0.9994
6916,HERPUD1,-0.1844,0.596,0.9994
6917,CPNE2,0.04344,0.8557,0.9994
6918,FAM192A,0.05524,0.7174,0.9994
6919,RSPRY1,0.1505,0.2967,0.9994
6920,ARL2BP,0.07656,0.6736,0.9994
6921,PLLP,-0.3052,0.4127,0.9994
6922,CX3CL1,0.328,0.3052,0.9994
6923,CIAPIN1,0.2118,0.1528,0.9994
6924,COQ9,0.08425,0.694,0.9994
6925,POLR2C,0.08816,0.5501,0.9994
6926,DOK4,-0.04082,0.8976,0.9994
6927,CCDC102A,-0.51,0.1699,0.9994
6928,GPR56,0.1211,0.6932,0.9994
6929,CCDC135,0.2459,0.5297,0.9994
6930,KATNB1,0.2086,0.2222,0.9994
6931,KIFC3,0.2348,0.3274,0.9994
6932,CNGB1,0.1718,0.6609,0.9994
6933,TEPP,0.07714,0.837,0.9994
6934,ZNF319,0.2748,0.1627,0.9994
6935,C16orf57,0.0199,0.8693,0.9994
6936,MMP15,-0.1357,0.4508,0.9994
6937,C16orf80,0.06941,0.6217,0.9994
6938,CSNK2A2,-0.3181,0.2573,0.9994
6939,CCDC113,0.09486,0.7767,0.9994
6940,GINS3,-0.2534,0.4947,0.9994
6941,NDRG4,0.1913,0.3873,0.9994
6942,SETD6,0.03051,0.9005,0.9994
6943,CNOT1,-0.06297,0.6586,0.9994
6944,SNORA50,-0.2561,0.4414,0.9994
6945,SLC38A7,-0.0658,0.8451,0.9994
6946,GOT2,0.1447,0.4093,0.9994
6947,LOC644649,-0.2566,0.4625,0.9994
6948,CDH8,0.4906,0.1095,0.9994
6949,CDH11,-0.5917,0.1139,0.9994
6950,LOC283867,-0.5267,0.1753,0.9994
6951,LOC100505865,-0.337,0.3542,0.9994
6952,BEAN1,-0.02645,0.9438,0.9994
6953,TK2,-0.1161,0.6344,0.9994
6954,CKLF,0.1913,0.533,0.9994
6955,CMTM1,0.1542,0.5742,0.9994
6956,CMTM2,0.1796,0.634,0.9994
6957,CMTM3,-0.4148,0.184,0.9994
6958,CMTM4,-0.2366,0.2967,0.9994
6959,DYNC1LI2,0.0449,0.7008,0.9994
6960,NAE1,0.1937,0.4866,0.9994
6961,PDP2,-0.1961,0.4967,0.9994
6962,RRAD,-0.3924,0.3106,0.9994
6963,FAM96B,0.04285,0.7595,0.9994
6964,CES2,0.1078,0.5989,0.9994
6965,CES3,0.3189,0.3538,0.9994
6966,CES4A,0.02093,0.9525,0.9994
6967,C16orf70,-0.04278,0.7585,0.9994
6968,HSF4,-0.05798,0.8758,0.9994
6969,NOL3,-0.09026,0.7611,0.9994
6970,KIAA0895L,0.1297,0.7051,0.9994
6971,EXOC3L1,0.08517,0.7035,0.9994
6972,E2F4,-0.08857,0.6722,0.9994
6973,ELMO3,0.06318,0.8613,0.9994
6974,LRRC29,-0.1646,0.5365,0.9994
6975,TMEM208,0.09855,0.5424,0.9994
6976,SLC9A5,-0.02505,0.9393,0.9994
6977,PLEKHG4,-0.226,0.5484,0.9994
6978,KCTD19,0.09732,0.7967,0.9994
6979,LRRC36,0.2222,0.5707,0.9994
6980,TPPP3,0.1739,0.6205,0.9994
6981,ZDHHC1,-0.1015,0.7667,0.9994
6982,HSD11B2,-0.1758,0.6508,0.9994
6983,ATP6V0D1,0.1171,0.6165,0.9994
6984,AGRP,0.05402,0.8782,0.9994
6985,CTCF,0.0118,0.93,0.9994
6986,RLTPR,0.1845,0.5469,0.9994
6987,ACD,0.1266,0.3728,0.9994
6988,C16orf48,-0.00667,0.9804,0.9994
6989,C16orf86,0.1421,0.5992,0.9994
6990,GFOD2,0.1923,0.4743,0.9994
6991,RANBP10,-0.116,0.4937,0.9994
6992,TSNAXIP1,0.09164,0.8086,0.9994
6993,CENPT,-0.04692,0.868,0.9994
6994,THAP11,0.02989,0.8118,0.9994
6995,NUTF2,-0.06662,0.6997,0.9994
6996,EDC4,0.01808,0.8996,0.9994
6997,NRN1L,0.2489,0.5256,0.9994
6998,PSKH1,-0.136,0.7138,0.9994
6999,CTRL,0.2578,0.3392,0.9994
7000,PSMB10,0.05301,0.8118,0.9994
7001,LCAT,-0.2565,0.4504,0.9994
7002,SLC12A4,-0.2835,0.3825,0.9994
7003,DDX28,0.1858,0.6112,0.9994
7004,DUS2L,0.0421,0.8319,0.9994
7005,ESRP2,0.05992,0.8766,0.9994
7006,PLA2G15,-0.07812,0.6997,0.9994
7007,SLC7A6,-0.08126,0.6252,0.9994
7008,SLC7A6OS,0.07666,0.61,0.9994
7009,PRMT7,-0.02361,0.8783,0.9994
7010,ZFP90,0.03596,0.8798,0.9994
7011,CDH1,-0.2218,0.5554,0.9994
7012,TMCO7,0.1164,0.6758,0.9994
7013,HAS3,0.2542,0.3754,0.9994
7014,CHTF8,0.1008,0.7754,0.9994
7015,CIRH1A,0.009761,0.9716,0.9994
7016,SNTB2,-0.4017,0.224,0.9994
7017,VPS4A,0.05433,0.651,0.9994
7018,COG8,0.1042,0.5748,0.9994
7019,PDF,0.06997,0.8351,0.9994
7020,NIP7,0.1455,0.5849,0.9994
7021,TMED6,0.153,0.6716,0.9994
7022,CYB5B,-0.03651,0.867,0.9994
7023,NFAT5,-0.1551,0.6339,0.9994
7024,NQO1,-0.4118,0.2386,0.9994
7025,NOB1,-0.3055,0.318,0.9994
7026,WWP2,0.04414,0.842,0.9994
7027,CLEC18A,0.3227,0.35,0.9994
7028,PDPR,-0.2133,0.484,0.9994
7029,CLEC18C,0.08057,0.8362,0.9994
7030,LOC729513,0.27,0.491,0.9994
7031,EXOSC6,0.2088,0.14,0.9994
7032,AARS,-0.0923,0.7556,0.9994
7033,DDX19B,-0.02069,0.9184,0.9994
7034,DDX19A,0.005534,0.9772,0.9994
7035,ST3GAL2,-0.008626,0.9719,0.9994
7036,FUK,-0.1677,0.4594,0.9994
7037,COG4,0.01742,0.9018,0.9994
7038,SF3B3,-0.1504,0.3656,0.9994
7039,MTSS1L,0.2616,0.3256,0.9994
7040,VAC14,-0.03433,0.8527,0.9994
7041,LOC100130894,0.1225,0.7546,0.9994
7042,HYDIN,0.15,0.6638,0.9994
7043,FTSJD1,-0.06342,0.8262,0.9994
7044,CALB2,0.2685,0.4876,0.9994
7045,ZNF19,0.289,0.3428,0.9994
7046,TAT,0.2744,0.4714,0.9994
7047,MARVELD3,-0.3921,0.3053,0.9994
7048,PHLPP2,0.07027,0.6958,0.9994
7049,ATXN1L,-0.1829,0.3492,0.9994
7050,ZNF821,0.1751,0.3773,0.9994
7051,PKD1L3,-0.1859,0.6197,0.9994
7052,HP,0.2861,0.4653,0.9994
7053,TXNL4B,0.1688,0.3544,0.9994
7054,DHX38,-0.01461,0.9431,0.9994
7055,ZFHX3,-0.05792,0.855,0.9994
7056,HTA,0.07503,0.8454,0.9994
7057,PSMD7,0.03822,0.6942,0.9994
7058,CLEC18B,-0.4142,0.2714,0.9994
7059,GLG1,-0.1156,0.5565,0.9994
7060,RFWD3,-0.1448,0.5935,0.9994
7061,FA2H,0.3336,0.2899,0.9994
7062,WDR59,-0.05623,0.6474,0.9994
7063,ZNRF1,0.2651,0.1084,0.9994
7064,LDHD,-0.02371,0.9444,0.9994
7065,ZFP1,0.128,0.3205,0.9994
7066,BCAR1,-0.003451,0.9828,0.9994
7067,CFDP1,-0.05823,0.6993,0.9994
7068,TMEM170A,-0.07412,0.6414,0.9994
7069,CHST6,0.1354,0.6553,0.9994
7070,CHST5,0.1809,0.6278,0.9994
7071,TMEM231,0.2257,0.3837,0.9994
7072,GABARAPL2,0.2106,0.2357,0.9994
7073,ADAT1,0.1435,0.458,0.9994
7074,KARS,-0.1124,0.6285,0.9994
7075,TERF2IP,0.1642,0.588,0.9994
7076,CNTNAP4,0.2193,0.4844,0.9994
7077,MON1B,0.1229,0.3685,0.9994
7078,ADAMTS18,-0.04644,0.898,0.9994
7079,NUDT7,0.03133,0.8957,0.9994
7080,VAT1L,0.4446,0.1503,0.9994
7081,WWOX,-0.1744,0.3119,0.9994
7082,MAF,-0.3642,0.1782,0.9994
7083,DYNLRB2,0.2621,0.5013,0.9994
7084,CDYL2,0.1715,0.5785,0.9994
7085,CMC2,-0.09659,0.6701,0.9994
7086,CENPN,-0.285,0.3715,0.9994
7087,ATMIN,0.1256,0.5146,0.9994
7088,C16orf46,0.1292,0.4968,0.9994
7089,GCSH,0.1198,0.6078,0.9994
7090,PKD1L2,-0.4966,0.2005,0.9994
7091,BCMO1,-0.4819,0.2122,0.9994
7092,GAN,0.1537,0.5834,0.9994
7093,MIR4720,0.4657,0.2334,0.9994
7094,CMIP,0.161,0.437,0.9994
7095,PLCG2,0.3531,0.3632,0.9994
7096,MPHOSPH6,-0.04571,0.8363,0.9994
7097,CDH13,0.04877,0.856,0.9994
7098,HSBP1,0.08428,0.5954,0.9994
7099,MLYCD,-0.01067,0.966,0.9994
7100,OSGIN1,0.2434,0.4202,0.9994
7101,NECAB2,0.09225,0.7561,0.9994
7102,SLC38A8,0.1519,0.6984,0.9994
7103,DNAAF1,0.2086,0.5879,0.9994
7104,TAF1C,-0.0446,0.8962,0.9994
7105,KCNG4,0.1995,0.5987,0.9994
7106,ATP2C2,0.1711,0.6452,0.9994
7107,KIAA1609,0.01114,0.9455,0.9994
7108,KLHL36,-0.03035,0.8886,0.9994
7109,USP10,0.05902,0.7536,0.9994
7110,ZDHHC7,0.01297,0.9408,0.9994
7111,FAM92B,0.2076,0.5921,0.9994
7112,LOC400548,-0.2266,0.5529,0.9994
7113,LINC00311,-0.1828,0.6294,0.9994
7114,LOC727710,-0.5288,0.1419,0.9994
7115,KIAA0182,0.02469,0.9031,0.9994
7116,GINS2,-0.04393,0.9068,0.9994
7117,C16orf74,-0.2199,0.5719,0.9994
7118,COX4NB,0.08955,0.6709,0.9994
7119,COX4I1,-0.08382,0.603,0.9994
7120,MTHFSD,-0.06659,0.7861,0.9994
7121,FLJ30679,0.2521,0.5202,0.9994
7122,C16orf95,-0.273,0.3571,0.9994
7123,FBXO31,-0.009223,0.9698,0.9994
7124,MAP1LC3B,0.1685,0.3357,0.9994
7125,JPH3,0.4768,0.1246,0.9994
7126,KLHDC4,-0.01533,0.9292,0.9994
7127,SLC7A5,-0.02268,0.9355,0.9994
7128,BANP,0.01636,0.932,0.9994
7129,ZC3H18,0.049,0.704,0.9994
7130,CYBA,0.5352,0.1138,0.9994
7131,MVD,-0.2198,0.476,0.9994
7132,MGC23284,0.2771,0.166,0.9994
7133,SNAI3,0.2779,0.1718,0.9994
7134,RNF166,0.01512,0.9161,0.9994
7135,CTU2,0.2279,0.1368,0.9994
7136,CDT1,-0.3623,0.2574,0.9994
7137,GALNS,0.009826,0.9756,0.9994
7138,TRAPPC2L,0.01342,0.9599,0.9994
7139,PABPN1L,-0.2596,0.5065,0.9994
7140,CBFA2T3,0.2718,0.4,0.9994
7141,ACSF3,-0.02144,0.9194,0.9994
7142,LINC00304,0.169,0.6268,0.9994
7143,CDH15,-0.1527,0.6887,0.9994
7144,SLC22A31,-0.5223,0.1679,0.9994
7145,ZNF778,0.2982,0.3004,0.9994
7146,ANKRD11,-0.05656,0.6415,0.9994
7147,SPG7,-0.04852,0.7852,0.9994
7148,RPL13,-0.365,0.1776,0.9994
7149,SNORD68,-0.1349,0.7096,0.9994
7150,DPEP1,0.09816,0.7982,0.9994
7151,CHMP1A,0.1982,0.2791,0.9994
7152,C16orf55,0.1512,0.6631,0.9994
7153,CDK10,-0.08175,0.7531,0.9994
7154,SPATA2L,0.2539,0.109,0.9994
7155,C16orf7,0.1669,0.1471,0.9994
7156,LOC100128881,-0.4705,0.2158,0.9994
7157,ZNF276,-0.09099,0.7213,0.9994
7158,FANCA,-0.3446,0.2206,0.9994
7159,SPIRE2,0.3278,0.2878,0.9994
7160,TCF25,-0.09662,0.3128,0.9994
7161,MC1R,0.09324,0.7224,0.9994
7162,TUBB3,0.06853,0.8216,0.9994
7163,DEF8,-0.003578,0.9768,0.9994
7164,CENPBD1,0.1359,0.7213,0.9994
7165,AFG3L1P,-0.07728,0.7971,0.9994
7166,DBNDD1,0.1334,0.6138,0.9994
7167,GAS8,-0.08178,0.7662,0.9994
7168,C16orf3,-0.1216,0.7482,0.9994
7169,LOC100130015,0.06027,0.8771,0.9994
7170,DOC2B,0.3851,0.2903,0.9994
7171,RPH3AL,-0.005871,0.9805,0.9994
7172,C17orf97,0.146,0.7088,0.9994
7173,FAM101B,-0.07078,0.7952,0.9994
7174,FAM57A,-0.2926,0.3783,0.9994
7175,GEMIN4,0.05744,0.8272,0.9994
7176,DBIL5P,0.1435,0.6276,0.9994
7177,GLOD4,0.07387,0.5342,0.9994
7178,RNMTL1,0.05148,0.7928,0.9994
7179,NXN,0.009303,0.9686,0.9994
7180,TIMM22,0.1105,0.667,0.9994
7181,ABR,0.1694,0.2002,0.9994
7182,TUSC5,0.2107,0.5893,0.9994
7183,CRK,0.1105,0.459,0.9994
7184,INPP5K,0.2022,0.1973,0.9994
7185,LOC100306951,0.1907,0.2988,0.9994
7186,PITPNA,0.1453,0.5479,0.9994
7187,SCARF1,-0.4189,0.1878,0.9994
7188,RILP,-0.12,0.6524,0.9994
7189,MIR22HG,-0.1273,0.7401,0.9994
7190,WDR81,0.07425,0.7194,0.9994
7191,SMYD4,0.03301,0.8559,0.9994
7192,RPA1,-0.18,0.4487,0.9994
7193,RTN4RL1,-0.02303,0.9514,0.9994
7194,DPH1,0.1599,0.5622,0.9994
7195,OVCA2,-0.2229,0.4556,0.9994
7196,SMG6,-0.1026,0.396,0.9994
7197,SRR,0.225,0.4566,0.9994
7198,TSR1,0.107,0.5473,0.9994
7199,SGSM2,0.1882,0.4315,0.9994
7200,LOC284009,0.09622,0.7833,0.9994
7201,METTL16,0.01925,0.9295,0.9994
7202,KIAA0664,0.134,0.3708,0.9994
7203,RAP1GAP2,0.1852,0.5638,0.9994
7204,TRPV3,0.05044,0.8939,0.9994
7205,TRPV1,0.1122,0.6821,0.9994
7206,SHPK,-0.1017,0.6186,0.9994
7207,CTNS,-0.1243,0.6219,0.9994
7208,P2RX5-TAX1BP3,0.3643,0.255,0.9994
7209,TMEM93,0.01113,0.9595,0.9994
7210,P2RX5,-0.06536,0.8606,0.9994
7211,ITGAE,-0.1009,0.6866,0.9994
7212,C17orf85,-0.02587,0.8615,0.9994
7213,CAMKK1,0.07247,0.7579,0.9994
7214,ATP2A3,0.0755,0.7784,0.9994
7215,ZZEF1,0.09234,0.7181,0.9994
7216,CYB5D2,0.2756,0.2234,0.9994
7217,ANKFY1,-0.1235,0.5173,0.9994
7218,UBE2G1,0.05697,0.7191,0.9994
7219,SPNS3,-0.1169,0.7645,0.9994
7220,SPNS2,0.1032,0.7776,0.9994
7221,MYBBP1A,0.05309,0.7411,0.9994
7222,SMTNL2,-0.2238,0.4324,0.9994
7223,ALOX15,-0.3811,0.3307,0.9994
7224,PELP1,0.07761,0.7051,0.9994
7225,ARRB2,0.07267,0.711,0.9994
7226,MED11,0.05288,0.8645,0.9994
7227,ZMYND15,0.1633,0.6769,0.9994
7228,VMO1,0.1607,0.6671,0.9994
7229,GLTPD2,0.04556,0.8695,0.9994
7230,PSMB6,0.02487,0.8767,0.9994
7231,MINK1,-0.01728,0.952,0.9994
7232,CHRNE,-0.09973,0.7993,0.9994
7233,C17orf107,0.3885,0.3214,0.9994
7234,SLC25A11,0.03158,0.8618,0.9994
7235,RNF167,-0.03549,0.8527,0.9994
7236,PFN1,-0.2634,0.2041,0.9994
7237,ENO3,-0.3104,0.3177,0.9994
7238,SPAG7,-0.09168,0.4478,0.9994
7239,INCA1,-0.08822,0.6763,0.9994
7240,KIF1C,-0.3133,0.2357,0.9994
7241,ZFP3,0.2822,0.4129,0.9994
7242,USP6,0.1797,0.645,0.9994
7243,ZNF594,0.1653,0.6703,0.9994
7244,RABEP1,0.08437,0.4305,0.9994
7245,NUP88,0.1496,0.5491,0.9994
7246,RPAIN,0.04109,0.8057,0.9994
7247,C1QBP,0.09924,0.5779,0.9994
7248,DHX33,0.1083,0.3947,0.9994
7249,DERL2,-0.1716,0.2858,0.9994
7250,MIS12,0.1157,0.525,0.9994
7251,LOC728392,0.1953,0.4996,0.9994
7252,NLRP1,-0.242,0.5347,0.9994
7253,LOC339166,-0.1978,0.5773,0.9994
7254,WSCD1,0.3239,0.1293,0.9994
7255,FAM64A,-0.4908,0.1226,0.9994
7256,PITPNM3,0.3984,0.1882,0.9994
7257,KIAA0753,-0.05681,0.7517,0.9994
7258,TXNDC17,-0.06984,0.8275,0.9994
7259,MED31,0.08534,0.6728,0.9994
7260,C17orf100,0.5095,0.1724,0.9994
7261,ALOX15P1,-0.1489,0.704,0.9994
7262,SLC13A5,0.2813,0.4733,0.9994
7263,TEKT1,0.3549,0.3626,0.9994
7264,LOC100506713,0.3064,0.3417,0.9994
7265,ALOX12,0.02722,0.9352,0.9994
7266,RNASEK-C17ORF49,0.06793,0.8545,0.9994
7267,RNASEK,-0.004364,0.9881,0.9994
7268,MIR497HG,0.05236,0.8901,0.9994
7269,SLC16A13,-0.1469,0.7023,0.9994
7270,SLC16A11,-0.1015,0.7834,0.9994
7271,ASGR1,0.03092,0.9299,0.9994
7272,DLG4,0.008371,0.9813,0.9994
7273,ACADVL,-0.3053,0.114,0.9994
7274,MIR324,-0.2019,0.5784,0.9994
7275,DVL2,-0.2424,0.1382,0.9994
7276,PHF23,0.1036,0.7562,0.9994
7277,GABARAP,-0.1574,0.4802,0.9994
7278,CTDNEP1,-0.09621,0.6969,0.9994
7279,C17orf81,0.1865,0.3642,0.9994
7280,CLDN7,-0.5393,0.1301,0.9994
7281,YBX2,-0.04954,0.8953,0.9994
7282,EIF5A,-0.06734,0.6801,0.9994
7283,GPS2,-0.06522,0.7062,0.9994
7284,NEURL4,0.1696,0.3426,0.9994
7285,ACAP1,0.1345,0.6082,0.9994
7286,KCTD11,-0.07758,0.7933,0.9994
7287,TNK1,-0.2845,0.2651,0.9994
7288,PLSCR3,-0.3596,0.3508,0.9994
7289,C17orf61-PLSCR3,-0.1403,0.7191,0.9994
7290,C17orf61,-0.3291,0.117,0.9994
7291,NLGN2,0.02818,0.9204,0.9994
7292,SPEM1,0.2231,0.5578,0.9994
7293,C17orf74,0.299,0.4314,0.9994
7294,TMEM102,-0.01836,0.962,0.9994
7295,FGF11,0.1637,0.5215,0.9994
7296,CHRNB1,0.1757,0.2799,0.9994
7297,ZBTB4,0.1162,0.6252,0.9994
7298,POLR2A,-0.1208,0.5058,0.9994
7299,TNFSF12,-0.486,0.2151,0.9994
7300,TNFSF13,0.1283,0.6808,0.9994
7301,SENP3,0.1762,0.2983,0.9994
7302,SNORA48,-0.3563,0.3382,0.9994
7303,CD68,-0.05313,0.8598,0.9994
7304,MPDU1,0.02815,0.8854,0.9994
7305,SOX15,0.1075,0.7375,0.9994
7306,FXR2,0.18,0.2933,0.9994
7307,SHBG,0.229,0.496,0.9994
7308,ATP1B2,-0.1449,0.5977,0.9994
7309,TP53,-0.2078,0.5908,0.9994
7310,WRAP53,0.08971,0.7162,0.9994
7311,EFNB3,0.4395,0.1881,0.9994
7312,KDM6B,0.09468,0.7086,0.9994
7313,TMEM88,0.05579,0.7838,0.9994
7314,LSMD1,-0.05074,0.7493,0.9994
7315,CYB5D1,0.1206,0.6979,0.9994
7316,CHD3,0.0656,0.74,0.9994
7317,SCARNA21,-0.06828,0.847,0.9994
7318,KCNAB3,-0.1718,0.6236,0.9994
7319,TRAPPC1,-0.01392,0.913,0.9994
7320,CNTROB,-0.1598,0.5512,0.9994
7321,GUCY2D,-0.084,0.8272,0.9994
7322,ALOX12B,0.1622,0.6262,0.9994
7323,ALOXE3,0.5118,0.1106,0.9994
7324,HES7,0.02433,0.95,0.9994
7325,VAMP2,0.1617,0.4794,0.9994
7326,TMEM107,0.02176,0.9439,0.9994
7327,C17orf59,0.0652,0.6896,0.9994
7328,LINC00324,0.3548,0.2901,0.9994
7329,CTC1,0.0456,0.8585,0.9994
7330,PFAS,-0.06685,0.8001,0.9994
7331,RANGRF,-0.1547,0.5631,0.9994
7332,ARHGEF15,0.02186,0.9556,0.9994
7333,LOC100128288,0.09437,0.7846,0.9994
7334,KRBA2,0.2229,0.1335,0.9994
7335,RPL26,-0.3881,0.1158,0.9994
7336,RNF222,-0.04163,0.9121,0.9994
7337,NDEL1,0.06679,0.7887,0.9994
7338,MYH10,-0.2309,0.2748,0.9994
