,Gene,log2FoldChange,pvalue,padj
248,RRAS,-0.8278,0.007486,0.4946
249,MASP1,0.6165,0.007535,0.4946
250,RHBDF1,-0.6514,0.00761,0.4974
251,UBQLN2,0.2471,0.007667,0.4991
252,DOCK1,-0.7425,0.007715,0.5003
253,DSCAML1,0.6893,0.007823,0.5033
254,ZNF197,0.417,0.0078,0.5033
255,LRIG3,-0.9736,0.008134,0.5161
256,CUX2,0.6015,0.008177,0.5161
257,UGGT2,-0.5188,0.008106,0.5161
258,HSDL1,0.2664,0.008179,0.5161
259,RBPMS,-0.7992,0.008079,0.5161
260,CD164,-0.757,0.00828,0.5205
261,L1TD1,-1.033,0.008321,0.5206
262,PRDX6,-0.5123,0.008346,0.5206
263,FAM46C,-0.9537,0.008391,0.5215
264,ADAM33,-0.9939,0.008549,0.5293
265,TLK1,-0.2367,0.00876,0.5403
266,KCNK2,0.6097,0.008794,0.5404
267,POLR3A,0.2868,0.009062,0.5426
268,GANAB,-0.3036,0.009048,0.5426
269,CPOX,-0.3403,0.009023,0.5426
270,MICA,-0.859,0.008998,0.5426
271,POU3F2,0.4784,0.008894,0.5426
272,AUTS2,0.39,0.009006,0.5426
273,SYPL1,-0.4891,0.008937,0.5426
274,MSN,-0.3958,0.009132,0.5448
275,ZCCHC24,-0.9672,0.009169,0.545
276,GSTO1,-0.4109,0.009215,0.5458
277,XDH,0.954,0.00933,0.5486
278,PABPC1L2B,0.8795,0.009309,0.5486
279,POGK,0.2803,0.009736,0.5624
280,EFEMP2,-0.9948,0.009655,0.5624
281,MYADM,-0.7661,0.009726,0.5624
282,ORC4,0.3291,0.009609,0.5624
283,INSM1,0.5511,0.009701,0.5624
284,C14orf149,-0.5111,0.01024,0.5647
285,MFGE8,-0.6672,0.01011,0.5647
286,CEACAM1,-0.981,0.01007,0.5647
287,PLEKHA4,-0.8802,0.01021,0.5647
288,MERTK,-0.7662,0.009946,0.5647
289,MARCH4,0.6728,0.0103,0.5647
290,GBX2,0.8828,0.01022,0.5647
291,SDC4,-0.6983,0.009882,0.5647
292,ITGA9,-0.944,0.01008,0.5647
293,SCN5A,-0.9351,0.01019,0.5647
294,MFI2,-0.8345,0.01026,0.5647
295,RAB11FIP1,-0.7027,0.01033,0.5647
296,TPD52,-0.7816,0.01023,0.5647
297,KIAA2022,0.5636,0.01014,0.5647
298,TCEAL6,0.8956,0.01016,0.5647
299,MORC4,-0.9271,0.0103,0.5647
300,POC1B,-0.3673,0.01042,0.5659
301,MRC2,-0.6332,0.01039,0.5659
302,KCTD6,-0.3616,0.01053,0.57
303,MEX3A,0.3088,0.01065,0.5708
304,ACTN1,-0.7487,0.01061,0.5708
305,TICAM1,-0.8589,0.01061,0.5708
306,NPC2,-0.6069,0.01078,0.5721
307,COL6A6,-0.969,0.01076,0.5721
308,ZC3HAV1,-0.6569,0.01073,0.5721
309,OAF,-0.7698,0.01096,0.5782
310,RNASE4,-0.9059,0.01096,0.5782
311,CYBASC3,-0.4846,0.011,0.5784
312,CSRNP1,-0.5808,0.01106,0.5795
313,HLA-B,-0.868,0.01116,0.5831
314,ZNF689,0.2551,0.01125,0.5858
315,SP9,0.9371,0.01128,0.5858
316,WASF2,-0.6745,0.0114,0.5886
317,SLFN12,-0.9886,0.01141,0.5886
318,FLNA,-0.614,0.01146,0.5896
319,FREM2,-0.9473,0.01154,0.5914
320,PDIA3P,-0.3457,0.01185,0.5983
321,GAS2L2,0.9302,0.01185,0.5983
322,FERMT1,-0.9868,0.01187,0.5983
323,SEC14L6,-0.9848,0.01193,0.5983
324,CSPG5,0.6937,0.01186,0.5983
325,C7orf41,0.3768,0.0119,0.5983
326,MYBL1,-0.5962,0.01188,0.5983
327,HJURP,-0.8059,0.01202,0.6014
328,SH3BP5L,0.2129,0.01241,0.6059
329,DDN,0.7147,0.01244,0.6059
330,RAB35,0.2403,0.0124,0.6059
331,RBPMS2,-0.6679,0.01232,0.6059
332,MYLK3,0.8447,0.01234,0.6059
333,ZFYVE20,0.2118,0.01226,0.6059
334,ACSL6,0.6116,0.01224,0.6059
335,PCDHGB1,-0.8347,0.01224,0.6059
336,SYNPO,-0.9788,0.01241,0.6059
337,ARHGAP17,-0.3736,0.01264,0.6065
338,ETFB,0.505,0.01264,0.6065
339,CRYBA4,-0.9657,0.01264,0.6065
340,F2RL2,-0.9768,0.01251,0.6065
341,STOM,-0.743,0.01264,0.6065
342,C15orf59,0.6647,0.01277,0.6072
343,NCAN,0.5804,0.01274,0.6072
344,GPC4,-0.7703,0.01277,0.6072
345,DES,-0.9714,0.01286,0.6096
346,LEPREL2,-0.7969,0.01293,0.6112
347,GRIN2A,0.6614,0.01302,0.6122
348,FAM84B,0.6649,0.01301,0.6122
349,CCND1,-0.5753,0.01313,0.6154
350,SEPN1,-0.3657,0.01325,0.6177
351,CGN,-0.7533,0.01333,0.6177
352,BAG5,0.2349,0.01328,0.6177
353,WWC2,-0.4373,0.01333,0.6177
354,ANO6,-0.5992,0.01349,0.6233
355,FZD4,-0.8521,0.01357,0.6255
356,DIAPH3,-0.7778,0.01367,0.6284
357,RUNX1,-0.9599,0.01374,0.6298
358,NTS,0.8462,0.01385,0.631
359,TBC1D8B,-0.9647,0.01381,0.631
360,GP5,-0.9553,0.01392,0.6324
361,ZNF547,0.5118,0.01398,0.6336
362,B2M,-0.7496,0.01412,0.6364
363,GPANK1,0.3544,0.01412,0.6364
364,MYCL1,0.564,0.01419,0.6377
365,C15orf42,-0.7478,0.01427,0.6397
366,PTP4A3,-0.6072,0.01435,0.6417
367,TGFB1I1,-0.8773,0.01443,0.6434
368,PTGDR2,-0.9554,0.0147,0.6467
369,RARG,-0.9358,0.01459,0.6467
370,RAB34,-0.8674,0.01459,0.6467
371,DSC2,-0.6871,0.0147,0.6467
372,FZD5,-0.654,0.01478,0.6467
373,KLHL18,0.249,0.01466,0.6467
374,PCDHGB5,-0.956,0.01477,0.6467
375,EFNA1,-0.7949,0.01488,0.6476
376,KIAA0087,0.9528,0.01488,0.6476
377,AURKA,-0.652,0.01506,0.6535
378,GAL3ST3,0.4134,0.01511,0.654
379,WNT7A,0.7548,0.01515,0.6543
380,C10orf105,0.8882,0.01528,0.6553
381,TUBA1C,-0.6215,0.01531,0.6553
382,ADAMTS9,-0.8947,0.01534,0.6553
383,PNMA2,0.4278,0.01524,0.6553
384,MAN1C1,-0.5596,0.01579,0.6597
385,CDC20,-0.7767,0.01562,0.6597
386,PACSIN3,-0.8907,0.01553,0.6597
387,PTHLH,-0.9265,0.01572,0.6597
388,DAZL,-0.9135,0.01572,0.6597
389,SRA1,0.3041,0.01559,0.6597
390,ARPC1B,-0.6737,0.0158,0.6597
391,IMMP2L,-0.4426,0.01559,0.6597
392,ROR2,-0.9148,0.01578,0.6597
393,PIEZO1,-0.7733,0.0159,0.6621
394,SOCS3,-0.9404,0.01601,0.6634
395,LOC150568,0.8026,0.01601,0.6634
396,RASL12,-0.8837,0.01609,0.665
397,SATL1,0.8447,0.01618,0.6671
398,C1orf27,-0.3158,0.01624,0.6679
399,TMEM198,0.4547,0.01647,0.6739
400,MYOT,-0.928,0.01645,0.6739
401,PLAU,-0.8276,0.01655,0.6749
402,GPC6,-0.5345,0.01662,0.6749
403,COPZ2,-0.9194,0.01661,0.6749
404,MTHFR,0.2998,0.01729,0.6753
405,PARD3,-0.3704,0.01726,0.6753
406,PDIA3,-0.3509,0.01708,0.6753
407,TPM1,-0.7177,0.01711,0.6753
408,PRC1,-0.5474,0.01718,0.6753
409,PLK1,-0.6854,0.01672,0.6753
410,PIEZO2,-0.8503,0.01699,0.6753
411,ZNF90,-0.7327,0.0169,0.6753
412,GALP,0.8155,0.01693,0.6753
413,LOC440905,-0.8935,0.01671,0.6753
414,RFTN1,-0.8999,0.01677,0.6753
415,TMEM196,0.7006,0.01701,0.6753
416,NOD1,-0.5152,0.01707,0.6753
417,GLI3,-0.8242,0.01696,0.6753
418,WBSCR27,-0.9343,0.01718,0.6753
419,C7orf34,0.9318,0.01721,0.6753
420,FRRS1,-0.8998,0.01774,0.676
421,FAM19A3,-0.8923,0.01788,0.676
422,CNIH3,-0.4817,0.01784,0.676
423,MDK,-0.7156,0.01749,0.676
424,GXYLT1,-0.6944,0.01783,0.676
425,CTDSP2,-0.5123,0.01765,0.676
426,SIX4,-0.8657,0.01784,0.676
427,SLCO3A1,0.4415,0.01784,0.676
428,PTBP1,-0.4376,0.0178,0.676
429,ZNF324,0.3139,0.01754,0.676
430,COLEC11,-0.9194,0.01776,0.676
431,APOBEC3B,-0.9292,0.01771,0.676
432,MAGEF1,0.3826,0.01768,0.676
433,SHROOM2,0.5668,0.01763,0.676
434,KIAA1217,-0.7442,0.01871,0.69
435,ST8SIA1,0.3806,0.01869,0.69
436,LOC338758,0.6997,0.01834,0.69
437,LOC283731,-0.4064,0.01872,0.69
438,LYSMD4,0.4181,0.01859,0.69
439,CYP1B1,-0.9248,0.01834,0.69
440,PDGFRB,-0.9184,0.01853,0.69
441,FKBP5,-0.7347,0.01841,0.69
442,AGBL3,0.5843,0.01861,0.69
443,MNX1,0.921,0.01864,0.69
444,PHKA2,-0.4551,0.01855,0.69
445,CCBL2,-0.3365,0.01892,0.6925
446,CLIC5,-0.9123,0.01883,0.6925
447,WDR67,-0.3832,0.01887,0.6925
448,SLC38A5,-0.7194,0.01895,0.6925
449,KLF4,-0.8767,0.01907,0.6951
450,HSD17B11,-0.6032,0.0192,0.6985
451,SLC2A3,-0.5111,0.0193,0.7005
452,CSDAP1,-0.7114,0.01946,0.7046
453,SBNO2,-0.3452,0.01955,0.7064
454,LRRC4C,0.5704,0.01962,0.7074
455,ATL3,-0.5278,0.01975,0.7074
456,C1S,-0.9056,0.01966,0.7074
457,PLAUR,-0.8162,0.01974,0.7074
458,LOC256021,0.6774,0.01988,0.709
459,EID2B,0.4332,0.01987,0.709
460,MTA3,-0.4227,0.02009,0.7151
461,BSG,-0.2869,0.02023,0.7167
462,LAMP2,-0.2974,0.02022,0.7167
463,ATHL1,-0.9069,0.02033,0.7179
464,AHNAK,-0.7987,0.02044,0.7179
465,IGFBP5,-0.9055,0.02035,0.7179
466,MBOAT1,-0.7067,0.02044,0.7179
467,EGFR,-0.6912,0.02048,0.7179
468,FRAT1,0.4904,0.02073,0.7201
469,TBX10,-0.9015,0.02084,0.7201
470,KCNA6,0.4245,0.02068,0.7201
471,MATN3,-0.8883,0.02079,0.7201
472,LTBP1,-0.8212,0.02081,0.7201
473,SCARF2,-0.7426,0.02064,0.7201
474,BAI3,0.3512,0.02085,0.7201
475,LOC654433,0.828,0.02096,0.7226
476,GTSE1,-0.5797,0.02106,0.7229
477,SCRG1,-0.9048,0.02106,0.7229
478,AHCY,-0.5073,0.02111,0.7231
479,LRRTM3,0.609,0.02122,0.7239
480,MYO1C,-0.7078,0.02121,0.7239
481,AKR1E2,0.7441,0.02134,0.7264
482,PCDHGB4,-0.8844,0.02142,0.7277
483,P2RX4,-0.3807,0.02159,0.7309
484,LINC00574,0.7267,0.02161,0.7309
485,BPI,-0.8613,0.02171,0.7313
486,ATP2B2,0.751,0.02167,0.7313
487,CDCA2,-0.6352,0.0218,0.7328
488,FGF8,-0.8835,0.02191,0.7338
489,FAM198A,-0.8977,0.02192,0.7338
490,FMO2,-0.8029,0.0222,0.7401
491,LOC642852,0.5471,0.02215,0.7401
492,IGF2R,-0.5322,0.02227,0.741
493,TIGD3,0.6643,0.02236,0.7426
494,GFPT2,-0.6006,0.02241,0.7429
495,BCAS2,0.3073,0.02266,0.7431
496,IQGAP3,-0.7145,0.02274,0.7431
497,ZDHHC20,-0.3828,0.02266,0.7431
498,ARID4A,0.2039,0.02278,0.7431
499,SPHK1,-0.8455,0.02253,0.7431
500,FAM110C,-0.7952,0.02259,0.7431
501,PXDN,-0.7352,0.02275,0.7431
502,THSD7B,-0.5467,0.02268,0.7431
503,PRUNE,0.2438,0.02292,0.7459
504,ECE1,-0.7102,0.02311,0.7477
505,CECR7,0.8781,0.02308,0.7477
506,HTRA3,-0.8843,0.02303,0.7477
507,WDR47,0.4054,0.0234,0.7537
508,SLITRK5,0.4093,0.02345,0.7537
509,AURKB,-0.6811,0.02349,0.7537
510,IGFBP4,-0.8858,0.02352,0.7537
511,CDC25C,-0.6363,0.02348,0.7537
512,GPM6A,0.649,0.02357,0.7538
513,BTBD19,-0.7584,0.02376,0.755
514,GPR26,0.7615,0.02388,0.755
515,SIAH3,0.7351,0.02393,0.755
516,PLCB2,-0.8363,0.02385,0.755
517,DNM1P35,0.6404,0.02389,0.755
518,RRBP1,-0.8115,0.0238,0.755
519,ACOT8,0.3293,0.02375,0.755
520,OLFML2B,-0.8708,0.02414,0.7572
521,TROAP,-0.7143,0.02411,0.7572
522,WIPI1,-0.6362,0.02411,0.7572
523,VOPP1,0.2574,0.02422,0.7584
524,HES1,-0.5633,0.02436,0.7611
525,FIBIN,-0.8826,0.02444,0.7624
526,KDELC2,-0.8298,0.02449,0.7625
527,ERRFI1,-0.5181,0.02486,0.767
528,ZNF26,0.2525,0.0249,0.767
529,RAB20,-0.7225,0.02495,0.767
530,CEP112,-0.5528,0.02496,0.767
531,PDYN,0.8461,0.02487,0.767
532,SEL1L3,-0.794,0.0249,0.767
533,CENPE,-0.581,0.02474,0.767
534,LOC100505695,-0.8418,0.02506,0.7684
535,ST3GAL6,0.3335,0.02515,0.7698
536,PPPDE1,-0.3884,0.02552,0.7705
537,CYFIP1,-0.4708,0.02549,0.7705
538,SPAG5,-0.6341,0.02525,0.7705
539,FSTL3,-0.3936,0.02544,0.7705
540,DKKL1,-0.5961,0.02555,0.7705
541,PLA2R1,-0.8383,0.02533,0.7705
542,SH3RF2,-0.8594,0.02543,0.7705
543,NEDD9,-0.5615,0.02537,0.7705
544,LOC400940,0.7406,0.02573,0.7737
545,NPR2,-0.6064,0.02575,0.7737
546,CKS1B,-0.6537,0.02617,0.778
547,RNASEL,0.8586,0.02631,0.778
548,KIAA1462,-0.8624,0.02641,0.778
549,C10orf2,0.3805,0.02618,0.778
550,PRKCDBP,-0.8186,0.02624,0.778
551,ZNF564,0.3025,0.02598,0.778
552,LOC100506421,0.6526,0.02601,0.778
553,SNED1,-0.8004,0.02611,0.778
554,SGMS2,-0.8683,0.02638,0.778
555,TMEM151B,0.4716,0.02635,0.778
556,LOC100507341,0.6623,0.02622,0.778
557,KIF2C,-0.6374,0.02666,0.7837
558,PRX,-0.6445,0.02676,0.7854
559,LOXL4,-0.8597,0.02686,0.7864
560,STXBP6,0.6668,0.02689,0.7864
561,FAM13A,-0.4611,0.02712,0.7917
562,IFITM10,0.6685,0.02744,0.7925
563,CBFB,-0.3576,0.02735,0.7925
564,DKFZp566F0947,-0.8205,0.02736,0.7925
565,MAGI2,0.4314,0.02741,0.7925
566,NIPAL2,-0.7441,0.0274,0.7925
567,GPRASP2,0.4453,0.02732,0.7925
568,DPH3P1,-0.5664,0.02774,0.7999
569,C1orf54,-0.5484,0.02801,0.8025
570,LIG4,0.3168,0.02811,0.8025
571,GREM1,-0.8574,0.02807,0.8025
572,TPM4,-0.6659,0.028,0.8025
573,OSBPL10,-0.7943,0.02789,0.8025
574,HPS3,-0.3542,0.02812,0.8025
575,ANP32B,-0.4906,0.02825,0.8047
576,FAM176B,-0.6818,0.02966,0.8067
577,HPCAL4,0.5034,0.02927,0.8067
578,LEPRE1,-0.7027,0.03137,0.8067
579,MCOLN3,-0.7816,0.02861,0.8067
580,GBP3,-0.8426,0.03082,0.8067
581,SELENBP1,-0.7428,0.03013,0.8067
582,LMNA,-0.499,0.03161,0.8067
